id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
04-482,Nepal,NEP,"790","2017","39723",Kaski,"3",West,Gandaki,Kaski, Kaski,"0",NA,landslide,2017-0256,"28.35477906","83.99943513"
Apr-50,Bolivia,BOL,"145","1994","39762",Caranavi,"3",La Paz,Nor Yungas,Caranavi,Caranari,"0",NA,landslide,1994-0043,"-15.75936574","-67.43781594"
04-544,Peru,PER,"135","2009","39845",Carmen Alto,"3",Ayacucho,Huamanga,Carmen Alto, Carmen Alto municipality ,"0",NA,landslide,2009-0569,"-13.21245249","-74.24173902"
Apr-56,Bolivia,BOL,"145","2014","39884",Puerto Rurrenabaque,"3",El Beni,Jose Ballivian,Puerto Rurrenabaque, Rurrenabaque town ,"0",NA,landslide,2014-0035,"-14.74223795","-67.27438876"
04-621,Switzerland,SWZ,"225","1999","39984",Evolene,"3",Valais,Herens,Evolene,Evolene ,"0",NA,landslide,1999-0263,"46.05202347","7.513434248"
04-660,Uganda,UGA,"500","2010","40083",Bududa,"3",Mbale,Manjiya,Bududa, Nametsi,"0",NA,landslide,2010-0084,"1.025896498","34.3181409"
04-660,Uganda,UGA,"500","2010","40085",Bumayoka,"3",Mbale,Manjiya,Bumayoka, Bumayoka villages ,"0",NA,landslide,2010-0084,"1.06145693","34.43811033"
04-660,Uganda,UGA,"500","2010","40087",Kachonga,"3",Tororo,Bunyole,Kachonga, Kachonga,"0",NA,landslide,2010-0084,"0.991322906","34.04825079"
04-660,Uganda,UGA,"500","2010","40090",Butaleja,"3",Tororo,Bunyole,Butaleja, Butaleja Town areas ,"0",NA,landslide,2010-0084,"0.911576186","33.98047424"
Apr-82,Burundi,BUI,"516","2015","40166",Rutunga,"3",Bujumbura Rural,Muhuta,Rutunga,Rutunga river ,"0",NA,landslide,2015-0109,"-3.654120652","29.38145195"
04-107,China,CHN,"710","1997","38861",Xingwen,"3",Sichuan,Yibin,Xingwen, Xingwen Level 2 - Level 1 = Sichuan,"0",NA,landslide,1997-0345,"28.25357527","105.1329448"
11-Apr,Afghanistan,AFG,"700","2009","38872",Salang,"2",Parwan,Salang,NA,Salang mountain pass ,"0",NA,landslide,2009-0033,"35.28788003","69.18748043"
04-116,China,CHN,"710","2001","38888",Wulong,"3",Chongqing,Chongqing,Wulong,Wulong Xiang area ,"0",NA,landslide,2001-0217,"29.37799167","107.7042088"
04-117,China,CHN,"710","2001","38891",Kunming,"2",Yunnan,Kunming,NA,Kunming district ,"0",NA,landslide,2001-0385,"25.38710811","102.8750874"
04-118,China,CHN,"710","2001","38892",Benxi,"2",Liaoning,Benxi,NA,Benxi Shi area,"0",NA,landslide,2001-0421,"41.22869632","124.565151"
04-118,China,CHN,"710","2001","38894",Yingkou,"3",Liaoning,Tieling,Yingkou, Yingkou Shi area ,"0",NA,landslide,2001-0421,"40.62263205","122.3057922"
12-Apr,Afghanistan,AFG,"700","2010","38896",Salang,"2",Parwan,Salang,NA,Salang mountain pass ,"0",NA,landslide,2010-0048,"35.28788003","69.18748043"
04-123,China,CHN,"710","2003","38909",Ziyang,"2",Sichuan,Ziyang,NA,Ziyang district,"0",NA,landslide,2003-0441,"30.18004066","104.9526104"
04-129,China,CHN,"710","2008","38923",Luliang,"2",Shanxi,Luliang,NA,Luliang district ,"0",NA,landslide,2008-0241,"37.67932537","111.2620637"
