id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
05-750,Philippines,PHI,"840","2006","42860",Ligao,"3",Sultan Kudarat,Palimbang,Ligao, Ligao,"0",NA,volcanic activity,2006-0450,"6.296897392","124.1641273"
05-753,Philippines,PHI,"840","2009","42875",Ligao,"3",Sultan Kudarat,Palimbang,Ligao, Ligao,"0",NA,volcanic activity,2009-0574,"6.296897392","124.1641273"
05-756,Philippines,PHI,"840","2011","42888",Cebu,"1",Cebu,NA,NA,Talisay,"0",NA,volcanic activity,2011-0564,"10.35656913","123.7556565"
05-756,Philippines,PHI,"840","2011","42889",Bataan,"1",Bataan,NA,NA, Balete areas ,"0",NA,volcanic activity,2011-0564,"14.66449879","120.4492742"
05-756,Philippines,PHI,"840","2011","42890",Batangas,"1",Batangas,NA,NA,Batangas district,"0",NA,volcanic activity,2011-0564,"13.89993205","121.0301277"
05-757,Philippines,PHI,"840","2014","42892",Ligao,"3",Sultan Kudarat,Palimbang,Ligao, Ligao,"0",NA,volcanic activity,2014-0331,"6.296897392","124.1641273"
05-759,Philippines,PHI,"840","2018","42904",Ligao,"3",Sultan Kudarat,Palimbang,Ligao, Ligao,"0",NA,volcanic activity,2018-0014,"6.296897392","124.1641273"
05-778,Reunion,NA,"999","1977","43002",Saint-Benoit,"1",Saint-Benoit,NA,NA,Sainte Rose,"0",NA,volcanic activity,1977-0058,"-21.09632941","55.64932172"
05-793,Solomon Islands,NA,"999","1971","43039",Temotu,"1",Temotu,NA,NA,Santa Cruz,"0",NA,volcanic activity,1971-0008,"-10.93971307","166.2482549"
05-889,Trinidad And Tobago,TRI,"52","1997","43548",Princes Town,"1",Princes Town,NA,NA,Piparo,"0",NA,volcanic activity,1997-0031,"10.20283638","-61.29599109"
05-905,United States,USA,"2","1980","43603",Washington,"1",Washington,NA,NA,Washington state,"0",NA,volcanic activity,1980-0047,"47.38228784","-120.4410727"
05-920,United States,USA,"2","2018","43679",Hawaii,"1",Hawaii,NA,NA,Hawaï,"0",NA,volcanic activity,2018-0146,"20.2484486","-156.3488107"
05-925,Vanuatu,NA,"999","2001","43701",Malampa,"1",Malampa,NA,NA,Malampa province,"0",NA,volcanic activity,2001-0254,"-16.26677253","167.6443179"
05-926,Vanuatu,NA,"999","2005","43702",Penama,"1",Penama,NA,NA,Penama province,"0",NA,volcanic activity,2005-0664,"-15.47799271","168.0539135"
05-928,Vanuatu,NA,"999","2008","43705",Malampa,"1",Malampa,NA,NA,Ambrym island ,"0",NA,volcanic activity,2008-0659,"-16.26677253","167.6443179"
05-929,Vanuatu,NA,"999","2009","43706",Torba,"1",Torba,NA,NA,Torba province,"0",NA,volcanic activity,2009-0553,"-13.90339136","167.3873746"
05-930,Vanuatu,NA,"999","2017","43707",Penama,"1",Penama,NA,NA,Ambae,"0",NA,volcanic activity,2017-0394,"-15.47799271","168.0539135"
05-931,Vanuatu,NA,"999","2018","43708",Malampa,"1",Malampa,NA,NA,Malampa province,"0",NA,volcanic activity,2018-0456,"-16.26677253","167.6443179"
05-684,Papua New Guinea,AUL,"900","1960","45243",Bogia,"2",Madang,Bogia,NA,Manam,"1",Australia,volcanic activity,1960-0011,"-4.383451711","144.922859"
